Title,BEERS BEERS GALORE,,,,
Author,Brody King,,,,
,,,,,
Round,Category,Value,Clue,Answer,DailyDouble
1,Name that Beer,200,This Belgian Style Wheat beer is traditonally served with an orange slice,What is Blue Moon?,
1,Name that Beer,400,America's oldest brewery ,What is Yuengling?,
1,Name that Beer,600,All Day IPA is produced by this Michigan brewery,What is Founders?,TRUE
1,Name that Beer,800,Voodoo Ranger is a popular IPA series from this Colorado brewery,What is New Belgium Brewing?,
1,Name that Beer,1000,"Colorfully named Jamaican lager that is also brewed in the Netherlands by Heineken. It's an occasional sponsor of the national bobsled team, ",What is Red Stripe?,
1,Beer Slogans,200,"""The Champagne of Beers""",What is Miller High Life?,
1,Beer Slogans,400,"""The King of Beers"", ""This ___'s for you""",What is Budweiser?,
1,Beer Slogans,600,"""Stay thirsty my friends""",What is Dos Equis?,
1,Beer Slogans,800,"""If you've got the time, we've got the beer""",What is Miller?,
1,Beer Slogans,1000,"""Refreshes the parts other beers cannot reach""",What is Heineken?,
1,Beer Origins,200,Heineken was founded in this European City,What is Amsterdam?,
1,Beer Origins,400,PBR was headquartered in this U.S. City,What is Milwaukee?,
1,Beer Origins,600,Guiness is brewed at this famous Dublin location,What is St. James Gate?,
1,Beer Origins,800,Stella Artois originated in this Belgian City,What is Leuven?,
1,Beer Origins,1000,Annheuser-Busch is headquartered in this U.S. City,What is St. Louis MO?,
1,Styles of Beer,200,"This beer style is typically very pale, light-bodied and easy to drink",What is Blonde Ale?,
1,Styles of Beer,400,"This beer style is typically dark brown with a malty, slightly sweet flavor",What is Brown Ale?,
1,Styles of Beer,600,"It's a type of beer intertwined with the history of porters. It's also a word in the dictionary that can mean bulky, brave, or resolute",What is a Stout?,
1,Styles of Beer,800,"This type of beer or lager originates from Plzen, Czech Republic",What is a Pilsner?,
1,Styles of Beer,1000,"Style of beer developed in London in the early 18th century that uses brown malt? The style was named for people known for carrying objects, as this style of beer was very popular with this profession",What is a Porter?,
1,Beer and Sports Sponsors,200,This artist partnered with Bud Light for a major Super Bowl campaign beside Shane Gillas,Who is Post Malone?,
1,Beer and Sports Sponsors,400,This country star is closely associated with Busch Light and has even had his own branded beer collections,Who is Luke Combs?,
1,Beer and Sports Sponsors,600,"This NFL QB appeared in Michelob Ultra's ""Superior Bowl"" ad campaign and became one of the brand's most recognizable celebrity face",Who is Peyton Manning?,
1,Beer and Sports Sponsors,800,"This rapper has been associated with Bud Light and has even famously rapped about ""crack a bottle""",Who is Eminem?,
1,Beer and Sports Sponsors,1000,This Global artist teamed up with Corona for ad campaigns centered around enjoying the moment and escaping the everyday,Who is Bad Bunny?,
1,Burger Beers,200,"At the hangout, you can always count on 3-4 of these warm in Jordan's backpack",What s Bud Light Platinum?,
1,Burger Beers,400,"If our sober friend were to drink, he'd bring this to the fiesta",What is Corona?,
1,Burger Beers,600,Nolan and Brody (maybe some others) spent a portion of COVID pretending not to hate this skeleton-themed beer,What is Voodoo Ranger?,
1,Burger Beers,800,"Heinous but an alcoholic's favorite choice in the bodega fridge, this drink always found its home in Jordan's basement fridge",What is Natty Daddy?,
1,Burger Beers,1000,"Though the Keg was quite broken, Brody deeply regrets not sharing this foamy concoction with his bros on Dilt'z 21st bday while he was getting reamed by his gf",What is Coors Light?,
