Title,Soccer Jeopardy,,,,
Author,Michael Sullivan,,,,
,,,,,
Round,Category,Value,Clue,Answer,DailyDouble
1,Champions League,200,This Spanish club has won more European Cups and Champions League titles than any other club.,What is Real Madrid?,
1,Champions League,400,"With 140 goals, this Portuguese superstar is the all-time leading scorer in Champions League history.",Who is Cristiano Ronaldo?,
1,Champions League,600,This Italian club defeated Barcelona 4–0 in the 1994 Champions League final.,What is AC Milan?,
1,Champions League,800,"In 1999, this English club scored twice in stoppage time to defeat Bayern Munich in the Champions League final.",What is Manchester United?,
1,Champions League,1000,"This club won the first five editions of the European Cup, from 1956 through 1960.",What is Real Madrid?,
1,World Cup,200,"This nation has won the FIFA World Cup more times than any other country, with five championships.",What is Brazil?,
1,World Cup,400,This Brazilian legend remains the only player in history to win three FIFA World Cups.,Who is Pelé?,
1,World Cup,600,This country won the 2010 World Cup after Andrés Iniesta scored the winning goal against the Netherlands.,What is Spain?,
1,World Cup,800,"This German striker scored 16 World Cup goals, making him the tournament's all-time leading scorer.",Who is Miroslav Klose?,
1,World Cup,1000,This nation hosted the first FIFA World Cup in 1930 and defeated Argentina in the final to become the inaugural champion.,What is Uruguay?,
1,Legendary Players,200,"Wearing number 10 for Argentina, this player captained his country to the 2022 World Cup title.",Who is Lionel Messi?,
1,Legendary Players,400,This French midfielder scored two goals in the 1998 World Cup final against Brazil.,Who is Zinedine Zidane?,
1,Legendary Players,600,This Brazilian striker scored 15 goals across three World Cups and won the tournament in 1994 and 2002.,Who is Ronaldo Nazário?,
1,Legendary Players,800,This Dutch legend famously led the Netherlands to the 1974 World Cup final and was associated with the philosophy known as 'Total Football.',Who is Johan Cruyff?,
1,Legendary Players,1000,"In the 2007–08 season, this player won the Premier League, Champions League, FIFA Club World Cup, Premier League Golden Boot, European Golden Shoe, Champions League Golden Boot, PFA Players' Player of the Year, FWA Footballer of the Year and the Ballon d'Or.",Who is Cristiano Ronaldo?,
1,Clubs & Teams,200,This Spanish club plays its home matches at the Santiago Bernabéu Stadium.,What is Real Madrid?,
1,Clubs & Teams,400,"Nicknamed 'The Old Lady,' this Italian club plays its home matches in Turin.",What is Juventus?,
1,Clubs & Teams,600,This English club plays at Anfield and is known for its famous anthem 'You'll Never Walk Alone.',What is Liverpool?,
1,Clubs & Teams,800,"This German club plays at Signal Iduna Park, one of Europe's largest stadiums, and is famous for its massive 'Yellow Wall.'",What is Borussia Dortmund?,
1,Clubs & Teams,1000,This Portuguese club has won more European Cups/Champions League titles than any other club from its country.,What is Benfica?,
1,International Soccer,200,This country is famous for its orange national team kit and has reached three FIFA World Cup finals without winning one.,What is the Netherlands?,
1,International Soccer,400,This South American nation won the 2021 Copa América by defeating Brazil in the final at the Maracanã.,What is Argentina?,
1,International Soccer,600,This European nation won Euro 2016 despite Cristiano Ronaldo leaving the final injured in the first half.,What is Portugal?,
1,International Soccer,800,This African nation became the first African country to reach a men's FIFA World Cup semifinal when it did so in 2022.,What is Morocco?,
1,International Soccer,1000,"This nation won Euro 2008, the 2010 World Cup and Euro 2012, becoming the first European team to win three consecutive major international tournaments.",What is Spain?,
1,Soccer History,200,Modern association football was codified in this country during the 19th century.,What is England?,
1,Soccer History,400,This was the year the first FIFA World Cup was held.,What is 1930?,
1,Soccer History,600,"Before being renamed the UEFA Champions League in 1992, Europe's premier club competition was known by this name.",What is the European Cup?,
1,Soccer History,800,"This English club became the first club from England to win the European Cup, defeating Benfica in the 1968 final.",What is Manchester United?,
1,Soccer History,1000,"This Liverpool player scored a hat-trick in the 1966 World Cup final, becoming the only player to score three goals in a men's World Cup final.",Who is Geoff Hurst?,
Final,Cristiano Ronaldo,,"In the 2007–08 season, this player won the Premier League and Champions League with Manchester United, the FIFA Club World Cup, the Premier League Golden Boot, the European Golden Shoe, the Champions League Golden Boot, the PFA Players' Player of the Year, the FWA Footballer of the Year and the Ballon d'Or.",Who is Cristiano Ronaldo?,
